customerid,companyname,contactname,contacttitle,city,country
ROMEY,Romero Y Tomillo,Alejandra Camino,Accounting Manager,Madrid,Spain
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Stavern,Norway
SAVEA,Save-A-Lot Markets,Jose Pavarotti,Sales Representative,Boise,Usa
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,London,Uk
SIMOB,Simons Bistro,Jytte Petersen,Owner,Kobenhavn,Denmark
SPECD,Spécialités Du Monde,Dominique Perrier,Marketing Manager,Paris,France
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,Usa
SUPRD,Suprêmes Délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,Portland,Usa
THECR,The Cracker Box,Liu Wong,Marketing Assistant,Butte,Usa
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Mexico City,Mexico
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,Sao Paulo,Brazil
TRAIH,Trail'S Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,Kirkland,Usa
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Århus,Denmark
VICTE,Victuailles En Stock,Mary Saveley,Sales Agent,Lyon,France
VINET,Vins Et Alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Stuttgart,Germany
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland
WELLI,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil
WHITC,White Clover Markets,Karl Jablonski,Owner,Seattle,Usa
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Helsinki,Finland
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,Warszawa,Poland
